species,ref_height,ini_height,endemism,phenology,form,density,texture,max_height,max_width,year_max,spacing,coverage
Patersonia occidentalis C,0.000000,0.300000,national,oct_nov_dec_jan,vase,semi-open,coarse,0.6,0.5,"3","6","30"
Dianella caerulea,0.000000,0.175000,regional,aug_sep_oct_nov_dec,vase,semi-open,coarse,0.35,0.35,"2","6","30"
Dianella caerulea,0.000000,0.175000,regional,aug_sep_oct_nov_dec,vase,semi-open,coarse,0.35,0.35,"2","6","30"
Dianella caerulea,0.000000,0.175000,regional,aug_sep_oct_nov_dec,vase,semi-open,coarse,0.35,0.35,"2","6","30"
Dianella caerulea,0.000000,0.175000,regional,aug_sep_oct_nov_dec,vase,semi-open,coarse,0.35,0.35,"2","6","30"
Dianella caerulea,0.000000,0.175000,regional,aug_sep_oct_nov_dec,vase,semi-open,coarse,0.35,0.35,"2","6","30"
Dianella caerulea,0.000000,0.175000,regional,aug_sep_oct_nov_dec,vase,semi-open,coarse,0.35,0.35,"2","6","30"
Dianella caerulea,0.000000,0.175000,regional,aug_sep_oct_nov_dec,vase,semi-open,coarse,0.35,0.35,"2","6","30"
Dianella caerulea,0.000000,0.175000,regional,aug_sep_oct_nov_dec,vase,semi-open,coarse,0.35,0.35,"2","6","30"
Lomandra longifolia B,0.000000,0.300000,national,oct_nov_dec_jan,mounding,semi-open,coarse,0.6,0.6,"3","4","40"
Lomandra longifolia B,0.000000,0.300000,national,oct_nov_dec_jan,mounding,semi-open,coarse,0.6,0.6,"3","4","40"
Lomandra longifolia B,0.000000,0.300000,national,oct_nov_dec_jan,mounding,semi-open,coarse,0.6,0.6,"3","4","40"
Lomandra longifolia B,0.000000,0.300000,national,oct_nov_dec_jan,mounding,semi-open,coarse,0.6,0.6,"3","4","40"
Lomandra longifolia B,0.000000,0.300000,national,oct_nov_dec_jan,mounding,semi-open,coarse,0.6,0.6,"3","4","40"
Lomandra longifolia B,0.000000,0.300000,national,oct_nov_dec_jan,mounding,semi-open,coarse,0.6,0.6,"3","4","40"
Lomandra longifolia B,0.000000,0.300000,national,oct_nov_dec_jan,mounding,semi-open,coarse,0.6,0.6,"3","4","40"
Lomandra longifolia B,0.000000,0.300000,national,oct_nov_dec_jan,mounding,semi-open,coarse,0.6,0.6,"3","4","40"
Patersonia occidentalis A,0.000000,0.300000,national,oct_nov_dec_jan,vase,semi-open,coarse,0.6,0.5,"3","4","40"
Patersonia occidentalis A,0.000000,0.300000,national,oct_nov_dec_jan,vase,semi-open,coarse,0.6,0.5,"3","4","40"
Patersonia occidentalis A,0.000000,0.300000,national,oct_nov_dec_jan,vase,semi-open,coarse,0.6,0.5,"3","4","40"
Patersonia occidentalis A,0.000000,0.300000,national,oct_nov_dec_jan,vase,semi-open,coarse,0.6,0.5,"3","4","40"
Patersonia occidentalis A,0.000000,0.300000,national,oct_nov_dec_jan,vase,semi-open,coarse,0.6,0.5,"3","4","40"
Patersonia occidentalis A,0.000000,0.300000,national,oct_nov_dec_jan,vase,semi-open,coarse,0.6,0.5,"3","4","40"
Patersonia occidentalis A,0.000000,0.300000,national,oct_nov_dec_jan,vase,semi-open,coarse,0.6,0.5,"3","4","40"
Patersonia occidentalis A,0.000000,0.300000,national,oct_nov_dec_jan,vase,semi-open,coarse,0.6,0.5,"3","4","40"
Patersonia occidentalis A,0.000000,0.300000,national,oct_nov_dec_jan,vase,semi-open,coarse,0.6,0.5,"3","4","40"
Patersonia occidentalis A,0.000000,0.300000,national,oct_nov_dec_jan,vase,semi-open,coarse,0.6,0.5,"3","4","40"
Patersonia occidentalis A,0.000000,0.300000,national,oct_nov_dec_jan,vase,semi-open,coarse,0.6,0.5,"3","4","40"
Patersonia occidentalis A,0.000000,0.300000,national,oct_nov_dec_jan,vase,semi-open,coarse,0.6,0.5,"3","4","40"
Patersonia occidentalis A,0.000000,0.300000,national,oct_nov_dec_jan,vase,semi-open,coarse,0.6,0.5,"3","4","40"
Patersonia occidentalis A,0.000000,0.300000,national,oct_nov_dec_jan,vase,semi-open,coarse,0.6,0.5,"3","4","40"
Patersonia occidentalis A,0.000000,0.300000,national,oct_nov_dec_jan,vase,semi-open,coarse,0.6,0.5,"3","4","40"
